location,bhk,total_sqft,bath,balcony,price_in_lakhs
Bommanahalli,2,1130,2,1,4520000
Bommanahalli,2,1145,2,2,7500000
Bommanahalli,2,1051,2,1,3300000
Bommanahalli,2,1102,2,2,5367000
Bommanahalli,2,1478,2,2,12500000
Bommanahalli,2,823,2,1,5063000
Vijayanagar,2,880,2,1,3500000
Bommanahalli,3,1991,4,2,10000000
Bommanahalli,2,1100,3,1,5000000
Bommanahalli,3,1745,3,2,11500000
Bommanahalli,2,1226,3,1,13500000
Bommanahalli,2,1100,2,1,7000000
Vijayanagar,2,1450,2,1,5800000
Bommanahalli,2,1150,2,1,5400000
Bommanahalli,3,1843,3,2,9584000
Bommanahalli,2,1090,3,2,4400000
Bommanahalli,2,1132,2,2,4200000
Bommanahalli,2,1375,2,2,8000000
Bommanahalli,2,1180,2,2,6500000
Bommanahalli,2,918,2,2,4500000
Bommanahalli,2,1372,2,1,6100000
Vijayanagar,3,1728,3,2,9500000
Bommanahalli,3,2215,3,1,27500000
Bommanahalli,2,1200,2,2,8000000
Vijayanagar,2,1280,2,1,5600000
Bommanahalli,2,1455,2,2,5600000
Whitefield,3,1800,3,2,11000000
Bommanahalli,3,1525,3,2,9600000
Bommanahalli,2,1204,2,3,3850000
Bommanahalli,2,1225,2,1,5355000
Bommanahalli,3,1650,3,2,12200000
Electronics City,2,880,2,1,1800000
Vijayanagar,2,1005,2,1,4200000
Whitefield,3,1562,3,2,10300000
Bommanahalli,2,1200,2,3,4200000
Bommanahalli,3,1555,3,2,8250000
Whitefield,2,1190,2,2,6700000
Bommanahalli,2,1070,2,2,5000000
Bommanahalli,2,1020,2,1,4248000
Bommanahalli,3,1610,3,1,11500000
Vijayanagar,2,1300,2,1,4900000
Bommanahalli,2,1420,2,1,12300000
Bommanahalli,2,1069,3,2,6540000
Bommanahalli,3,1900,3,3,12300000
Bommanahalli,3,1655,2,1,9765000
Bommanahalli,2,1155,2,2,4042000
Bommanahalli,2,1300,2,2,7000000
Electronics City,2,1100,2,2,4500000
Bommanahalli,2,1030,2,2,4200000
Vijayanagar,3,2105,2,1,7020000
Bommanahalli,3,1700,3,2,12600000
Indira Nagar,3,1760,3,2,13900000
Indira Nagar,2,1400,2,1,6700000
Bommanahalli,2,1200,2,0,5300000
Bommanahalli,2,912,2,1,5500000
Whitefield,2,1102,2,1,4800000
Bommanahalli,3,1535,3,1,5500000
Bommanahalli,2,1243,2,2,4600000
Bommanahalli,2,918,2,2,6320000
Bommanahalli,2,1500,2,3,7000000
Bommanahalli,2,1476,3,0,8900000
Bommanahalli,2,1200,2,3,6500000
Vijayanagar,2,1100,2,3,6100000
Bommanahalli,2,1295,2,1,5950000
Bommanahalli,2,1300,2,2,8000000
Bommanahalli,2,1140,2,1,7520000
Whitefield,3,2321,4,1,12800000
Bommanahalli,2,1390,2,2,6200000
Bommanahalli,3,1725,3,3,9000000
Bommanahalli,2,1186,2,1,6300000
Bommanahalli,2,1230,2,1,8500000
Vijayanagar,2,1313,3,1,9600000
Vijayanagar,2,1250,2,2,6625000
Bommanahalli,2,1036,2,2,10500000
Bommanahalli,2,1100,2,1,7000000
Electronics City,2,1015,2,1,5600000
Bommanahalli,2,1360,2,2,6500000
Bommanahalli,3,2167,3,3,17000000
Bommanahalli,2,1200,2,1,3500000
Bommanahalli,2,1165,2,2,7500000
Bommanahalli,2,1274,2,2,7000000
Bommanahalli,2,1151,2,2,3902000
Bommanahalli,3,1626,2,2,12000000
Bommanahalli,2,1035,2,2,3577000
Bommanahalli,2,965,2,1,4500000
Bommanahalli,2,1070,2,1,4279000
Bommanahalli,3,1570,2,2,6500000
Bommanahalli,2,1000,2,1,6500000
Vijayanagar,3,1700,2,3,10000000
Bommanahalli,3,1850,3,2,11000000
Bommanahalli,2,904,2,1,3000000
Bommanahalli,2,1121,2,1,4372000
Vijayanagar,2,1385,2,2,5817000
Bommanahalli,2,1270,2,1,6985000
Bommanahalli,2,1450,3,3,5600000
Bommanahalli,3,1580,3,3,5356000
Bommanahalli,2,1111,2,1,5000000
Bommanahalli,2,977,2,2,3600000
Indira Nagar,2,1290,2,1,10000000
Vijayanagar,2,1463,1,1,14200000
Bommanahalli,2,1306,2,2,5800000
Bommanahalli,3,1875,2,3,23500000
Bommanahalli,3,1804,3,2,12100000
Vijayanagar,3,2065,4,1,21000000
Bommanahalli,2,1225,3,1,4000000
Bommanahalli,2,900,2,2,5600000
Bommanahalli,2,1350,2,1,9100000
Bommanahalli,2,1160,2,1,4639000
Bommanahalli,3,1680,3,2,9927000
Bommanahalli,2,1043,2,2,5500000
Bommanahalli,2,1040,2,2,4600000
Bommanahalli,2,1357,2,2,6500000
Bommanahalli,2,1225,2,2,4700000
Vijayanagar,2,1130,2,2,4000000
Bommanahalli,3,1700,3,3,12000000
Bommanahalli,3,1549,3,2,6500000
Vijayanagar,2,1400,2,2,10000000
Bommanahalli,2,1080,2,2,5000000
Bommanahalli,2,1180,2,2,10000000
Bommanahalli,3,1800,3,2,15000000
Bommanahalli,2,1225,2,1,6738000
Vijayanagar,2,1005,2,1,3959000
Whitefield,2,1320,2,1,9500000
Vijayanagar,2,1475,2,1,5000000
Bommanahalli,2,1110,2,2,5100000
Electronics City,2,1128,2,1,6535000
Indira Nagar,2,1452,2,1,10000000
Bommanahalli,2,1243,2,2,4850000
Bommanahalli,2,960,2,2,3200000
Bommanahalli,3,1690,3,2,10000000
Bommanahalli,2,1365,2,2,7300000
Bommanahalli,2,1420,2,1,9939000
Bommanahalli,3,1570,3,3,6800000
Bommanahalli,2,850,1,1,3200000
Vijayanagar,3,1575,2,2,11000000
Bommanahalli,2,1418,2,2,10400000
Bommanahalli,2,1050,2,1,4200000
Bommanahalli,2,1065,2,1,4260000
Bommanahalli,2,1340,3,0,9000000
Bommanahalli,3,1610,3,2,9200000
Electronics City,2,1160,2,1,3350000
Bommanahalli,2,1092,2,2,4400000
Bommanahalli,2,1194,2,2,4700000
Bommanahalli,2,1455,3,1,6150000
Whitefield,3,1896,3,1,7500000
Vijayanagar,2,1100,2,1,4800000
Bommanahalli,2,1350,2,1,7900000
Vijayanagar,2,1355,3,1,6100000
Electronics City,2,1128,2,1,6500000
Bommanahalli,2,1493,3,2,8200000
Vijayanagar,2,1098,2,1,4391000
Bommanahalli,3,1900,2,1,17000000
Bommanahalli,2,1460,3,2,8800000
Bommanahalli,3,2350,4,3,28500000
Bommanahalli,2,1091,2,1,3200000
Bommanahalli,2,1180,2,3,4200000
Bommanahalli,2,1366,3,1,7685000
Bommanahalli,3,1685,3,2,9500000
Bommanahalli,2,1260,2,3,10000000
Whitefield,2,1346,2,1,9617000
Vijayanagar,3,1850,3,2,14000000
Electronics City,1,755,1,1,3400000
Bommanahalli,2,1194,2,2,4600000
Bommanahalli,5,4235,4,2,36500000
Bommanahalli,3,2250,3,1,19500000
Vijayanagar,2,1352,2,2,6800000
Bommanahalli,3,2002,3,2,11200000
Bommanahalli,2,1060,2,2,4500000
Bommanahalli,2,1420,2,1,5900000
Bommanahalli,2,1196,2,2,5115000
Electronics City,2,1220,2,2,3524000
Electronics City,3,1595,3,2,7500000
Bommanahalli,2,1260,2,3,7500000
Bommanahalli,2,1100,2,2,4700000
Bommanahalli,3,1550,2,2,14000000
Indira Nagar,2,1180,2,3,5200000
Vijayanagar,3,1662,3,2,8500000
Bommanahalli,2,1285,2,1,6000000
Vijayanagar,3,1862,3,2,11900000
Bommanahalli,2,1419,2,2,4800000
Whitefield,2,1410,3,2,4371000
Bommanahalli,3,1560,2,2,6240000
Bommanahalli,3,1634,3,3,7800000
Whitefield,2,1150,2,3,4400000
Vijayanagar,2,1100,2,1,5300000
Bommanahalli,3,1616,3,1,6500000
Bommanahalli,2,1392,2,1,9900000
Indira Nagar,3,1798,3,1,12000000
Bommanahalli,3,1675,3,3,7500000
Bommanahalli,3,2000,4,1,10300000
Bommanahalli,3,1700,3,2,12400000
Bommanahalli,2,1248,2,1,6900000
Bommanahalli,2,1147,2,1,5400000
Bommanahalli,2,1100,2,2,4000000
Vijayanagar,3,1527,3,2,11500000
Bommanahalli,2,1100,2,3,5800000
Bommanahalli,2,1118,2,2,3750000
Bommanahalli,2,1476,3,1,7500000
Bommanahalli,3,2100,3,1,7500000
Bommanahalli,2,1215,2,2,4650000
Vijayanagar,2,1332,2,1,7900000
Bommanahalli,2,1350,2,3,4900000
Bommanahalli,2,1243,2,2,4600000
Bommanahalli,2,1105,2,2,4973000
Bommanahalli,2,1200,2,2,5000000
Bommanahalli,2,1251,2,1,4740000
Bommanahalli,2,883,2,1,4500000
Bommanahalli,2,1400,2,3,6700000
Bommanahalli,3,1800,3,3,26000000
Bommanahalli,3,1703,3,2,11300000
Bommanahalli,2,1250,3,1,7100000
Bommanahalli,2,933,2,2,4300000
Bommanahalli,2,1262,2,1,7500000
Bommanahalli,2,915,2,2,4800000
Bommanahalli,2,1370,2,2,6150000
Bommanahalli,2,1210,2,3,5500000
Bommanahalli,3,2392,4,2,26000000
Bommanahalli,2,1065,2,3,5000000
Bommanahalli,3,1515,3,3,6500000
Bommanahalli,2,1445,2,3,4031000
Bommanahalli,2,1300,2,1,5500000
Vijayanagar,2,989,2,0,6000000
Indira Nagar,2,1300,2,1,8500000
Bommanahalli,2,1185,2,2,3022000
Bommanahalli,2,1045,2,3,6000000
Vijayanagar,2,1205,2,2,4218000
Bommanahalli,2,1260,2,1,7500000
Bommanahalli,2,1500,2,2,12500000
Bommanahalli,2,1250,2,2,4250000
Bommanahalli,2,1199,2,2,5000000
Bommanahalli,2,1385,2,1,8309000
Bommanahalli,2,1149,2,1,7500000
Bommanahalli,3,2180,3,2,17000000
Bommanahalli,3,1818,3,1,13500000
Vijayanagar,2,1070,2,2,3300000
Bommanahalli,3,1640,3,2,24100000
Bommanahalli,2,1350,2,2,5460000
Bommanahalli,1,630,1,1,2700000
Bommanahalli,2,1430,2,2,11300000
Bommanahalli,2,1084,2,3,5500000
Bommanahalli,2,1186,2,1,5600000
Bommanahalli,2,1255,2,2,5000000
Bommanahalli,3,1541,3,1,6984000
Bommanahalli,2,1295,2,2,7000000
Vijayanagar,2,1370,2,2,5479000
Electronics City,2,1100,2,1,4000000
Bommanahalli,2,1370,2,1,17000000
Vijayanagar,2,1370,2,1,5479000
Vijayanagar,2,1200,2,2,6200000
Vijayanagar,2,1220,3,2,6200000
Vijayanagar,2,1178,2,3,7300000
Bommanahalli,2,1286,3,2,6144000
Vijayanagar,2,1160,2,2,4200000
Vijayanagar,2,918,2,2,5500000
Electronics City,3,1563,3,2,9184000
Vijayanagar,2,1326,2,1,6217000
Vijayanagar,2,1350,2,2,14000000
Vijayanagar,2,1240,2,2,3906000
Vijayanagar,2,1325,2,2,5000000
Vijayanagar,2,1100,2,1,4400000
Vijayanagar,3,1605,3,2,5000000
Vijayanagar,5,5600,5,3,51500000
Vijayanagar,2,1260,2,1,6000000
Vijayanagar,3,1553,3,2,8309000
Whitefield,2,1280,2,2,5200000
Vijayanagar,3,1550,2,2,7500000
Vijayanagar,2,1445,2,2,12500000
Vijayanagar,3,1550,3,2,7400000
Electronics City,3,1515,2,1,8091000
Vijayanagar,2,1332,2,1,8612000
Electronics City,3,1652,3,2,7000000
Vijayanagar,3,1570,3,1,10500000
Vijayanagar,3,1650,3,1,22000000
Vijayanagar,3,1750,3,2,11000000
Vijayanagar,2,1053,2,1,4800000
Vijayanagar,2,1100,3,2,5300000
Vijayanagar,3,1665,3,3,7000000
Bommanahalli,2,1447,3,2,8000000
Vijayanagar,2,1012,2,1,7500000
Vijayanagar,3,1900,3,2,6000000
Vijayanagar,2,1308,2,2,9266000
Electronics City,2,1000,2,2,2200000
Vijayanagar,2,1140,2,2,4911000
Vijayanagar,2,1250,2,1,5500000
Vijayanagar,2,1290,3,3,4515000
Vijayanagar,2,1424,2,2,9000000
Vijayanagar,2,1320,2,2,6060000
Vijayanagar,3,1662,3,2,8550000
Vijayanagar,2,1200,2,2,4500000
Vijayanagar,3,1975,3,2,21000000
Vijayanagar,2,1295,2,2,5950000
Vijayanagar,3,1777,3,2,10000000
Vijayanagar,3,1900,3,2,10800000
Vijayanagar,3,1576,3,2,5910000
Vijayanagar,2,1020,2,3,4100000
Vijayanagar,3,2100,3,3,17000000
Vijayanagar,2,1167,2,1,3800000
Vijayanagar,2,1220,2,2,5089000
Vijayanagar,3,2350,5,1,32700000
Vijayanagar,2,1259,2,1,6740000
Vijayanagar,3,1800,3,1,8000000
Vijayanagar,3,1991,3,2,16000000
Vijayanagar,3,1665,3,3,11000000
Vijayanagar,2,1234,2,1,6100000
Vijayanagar,2,1340,2,2,6431000
Vijayanagar,2,1170,2,2,4679000
Electronics City,2,995,2,0,4600000
Vijayanagar,2,1075,2,2,6000000
Electronics City,2,1025,2,1,5450000
Vijayanagar,4,2721,3,2,11300000
Vijayanagar,3,2000,3,2,9900000
Whitefield,4,2500,4,3,15500000
Vijayanagar,2,1325,2,2,7000000
Vijayanagar,2,1314,2,3,6820000
Vijayanagar,3,2265,3,2,13600000
Vijayanagar,2,1026,2,1,4100000
Vijayanagar,2,1200,3,2,6600000
Vijayanagar,3,2220,4,2,6500000
Vijayanagar,2,1420,2,1,9939000
Vijayanagar,3,1888,4,1,9500000
Vijayanagar,2,1300,2,1,9087000
Vijayanagar,2,1216,2,0,9716000
Vijayanagar,3,1559,3,2,6300000
Vijayanagar,2,1290,2,1,8700000
Vijayanagar,2,1069,2,1,5500000
Vijayanagar,2,829,2,1,2280000
Vijayanagar,3,1900,2,1,20000000
Vijayanagar,2,1300,3,2,6000000
Bommanahalli,2,1115,2,1,3345000
Vijayanagar,4,2409,3,2,36000000
Vijayanagar,3,2150,4,2,12500000
Vijayanagar,2,1305,2,1,6900000
Vijayanagar,2,1252,2,1,5632000
Vijayanagar,3,1750,3,1,13000000
Vijayanagar,2,1313,2,2,6650000
Vijayanagar,3,1693,3,2,10800000
Vijayanagar,2,1160,2,1,4175000
Vijayanagar,2,1255,2,2,7900000
Vijayanagar,2,900,2,1,4500000
Vijayanagar,3,1700,3,2,9000000
Indira Nagar,3,1875,3,1,18000000
Vijayanagar,3,1700,3,2,8800000
Vijayanagar,3,1749,3,2,11500000
Vijayanagar,2,1175,2,1,4800000
Vijayanagar,2,1280,2,1,6000000
Vijayanagar,2,1200,2,2,5000000
Vijayanagar,3,1610,2,2,11500000
Electronics City,2,1070,2,1,4600000
Vijayanagar,2,1127,2,1,5000000
Indira Nagar,2,1210,2,1,10200000
Vijayanagar,1,600,2,1,2300000
Vijayanagar,5,4190,4,3,38000000
Vijayanagar,2,1364,2,2,7000000
Whitefield,3,2268,3,0,14600000
Vijayanagar,2,1150,2,2,7750000
Vijayanagar,2,1146,2,1,3950000
Vijayanagar,2,1345,2,2,5500000
Vijayanagar,2,1110,2,2,4100000
Vijayanagar,1,750,2,1,3600000
Vijayanagar,2,1156,2,2,4950000
Vijayanagar,2,1247,2,1,5980000
Vijayanagar,2,1058,2,2,6000000
Vijayanagar,2,950,2,1,4800000
Vijayanagar,3,1520,2,1,10300000
Vijayanagar,2,1215,2,2,5886000
Vijayanagar,3,2350,3,2,17400000
Vijayanagar,2,1050,2,2,4600000
Vijayanagar,3,1672,3,2,15000000
Vijayanagar,2,1500,2,2,6500000
Vijayanagar,2,1400,2,2,6500000
Bommanahalli,2,920,2,1,3746000
Bommanahalli,2,1250,3,2,13900000
Vijayanagar,3,1817,4,2,15300000
Vijayanagar,2,1140,2,2,4600000
Vijayanagar,2,1464,2,2,5600000
Vijayanagar,2,1468,3,2,13000000
Electronics City,3,1555,2,1,8200000
Whitefield,2,1150,2,0,5500000
Vijayanagar,2,970,2,1,3500000
Vijayanagar,4,2500,4,3,9500000
Vijayanagar,2,1166,2,1,5300000
Electronics City,2,1350,3,2,5800000
Vijayanagar,2,900,2,3,4600000
Vijayanagar,2,1300,2,2,5200000
Vijayanagar,2,1190,3,1,5500000
Vijayanagar,2,1495,2,2,7500000
Indira Nagar,2,1224,2,2,10500000
Vijayanagar,2,1350,2,2,6800000
Vijayanagar,2,940,2,1,5680000
Vijayanagar,2,1100,2,1,5500000
Vijayanagar,2,1300,2,2,6100000
Vijayanagar,2,1480,2,0,14500000
Vijayanagar,2,1105,2,2,4637000
Vijayanagar,3,1517,3,2,7630000
Vijayanagar,3,1615,3,2,8975000
Vijayanagar,2,1500,3,2,6500000
Vijayanagar,2,1082,3,1,5050000
Vijayanagar,2,1365,2,2,7300000
Electronics City,2,1000,2,3,2500000
Vijayanagar,2,1392,2,1,9800000
Vijayanagar,2,1086,2,1,3366000
Vijayanagar,3,1586,3,3,9394000
Vijayanagar,2,1100,2,1,6000000
Electronics City,2,1065,2,1,3075000
Vijayanagar,3,1575,2,2,12000000
Vijayanagar,3,1975,3,3,12300000
Vijayanagar,2,820,2,2,2400000
Vijayanagar,3,1745,3,2,11000000
Vijayanagar,2,1223,2,1,6000000
Vijayanagar,2,1200,2,1,6500000
Vijayanagar,2,1200,2,0,9000000
Vijayanagar,1,665,1,1,4608000
Vijayanagar,2,1351,2,2,7000000
Vijayanagar,2,1355,3,1,8387000
Vijayanagar,4,3900,3,2,30000000
Vijayanagar,3,1588,3,1,7555000
Vijayanagar,2,900,2,1,6000000
Vijayanagar,2,1370,2,2,7500000
Vijayanagar,3,2280,3,2,28500000
Vijayanagar,2,1100,3,2,5300000
Vijayanagar,2,1247,2,0,5300000
Vijayanagar,3,2000,3,2,20000000
Vijayanagar,2,1020,2,1,6838000
Vijayanagar,2,1033,2,2,3200000
Vijayanagar,2,1460,2,3,7300000
Vijayanagar,2,1150,2,2,5280000
Vijayanagar,5,5965,5,3,38500000
Vijayanagar,2,1141,2,1,4600000
Vijayanagar,3,1665,2,3,12500000
Vijayanagar,2,1295,2,2,6400000
Vijayanagar,2,1230,2,1,7800000
Vijayanagar,2,1080,2,2,7500000
Vijayanagar,2,1000,2,1,6000000
Vijayanagar,3,2400,2,0,5000000
Vijayanagar,3,1708,3,2,7500000
Vijayanagar,3,1697,3,2,11500000
Whitefield,4,3537,5,3,21000000
Vijayanagar,1,615,1,1,2829000
Vijayanagar,2,1350,2,0,8300000
Vijayanagar,2,1083,2,1,3249000
Vijayanagar,2,1460,2,2,6500000
Vijayanagar,2,1084,2,1,5800000
Bommanahalli,2,1035,2,1,4143000
Vijayanagar,3,2400,2,1,15000000
Vijayanagar,2,950,5,1,9000000
Whitefield,2,1285,2,2,5590000
Vijayanagar,2,1070,2,1,3500000
Vijayanagar,3,1801,3,2,14000000
Whitefield,3,1697,3,2,11500000
Vijayanagar,2,1199,2,2,6500000
Vijayanagar,3,2300,3,1,22000000
Vijayanagar,2,1340,2,3,6431000
Vijayanagar,4,3800,4,3,20500000
Vijayanagar,2,1125,2,1,7500000
Vijayanagar,2,1050,2,3,4100000
Vijayanagar,2,956,2,1,4900000
Vijayanagar,2,1000,2,2,3000000
Vijayanagar,3,1596,3,0,9500000
Vijayanagar,2,1296,2,3,8906000
Bommanahalli,3,1639,3,3,12300000
Electronics City,2,1219,2,1,6125000
Vijayanagar,2,1200,3,1,5000000
Vijayanagar,2,1218,2,1,7300000
Vijayanagar,2,920,2,3,3700000
Vijayanagar,4,2559,3,2,14100000
Vijayanagar,2,1427,2,2,4851000
Vijayanagar,2,1270,3,2,4500000
Vijayanagar,2,920,2,3,6500000
Indira Nagar,3,1740,3,2,19900000
Vijayanagar,2,1355,2,1,4000000
Vijayanagar,3,1530,2,2,9000000
Vijayanagar,2,1372,2,1,9000000
Vijayanagar,3,2363,5,2,12000000
Vijayanagar,4,3895,4,3,22000000
Indira Nagar,3,1950,3,2,13100000
Vijayanagar,2,885,2,3,4000000
Vijayanagar,1,600,2,2,2700000
Vijayanagar,2,1339,2,2,6200000
Whitefield,2,1130,2,1,3600000
Vijayanagar,2,1085,2,2,4300000
Vijayanagar,2,1430,3,2,7200000
Vijayanagar,2,1452,4,1,12100000
Vijayanagar,5,6200,5,3,72000000
Vijayanagar,2,1490,2,1,5960000
Vijayanagar,3,1650,4,0,9900000
Vijayanagar,2,1286,2,2,5700000
Vijayanagar,2,925,2,2,6300000
Vijayanagar,4,3016,4,3,23000000
Vijayanagar,2,1000,2,2,4400000
Whitefield,2,1215,2,2,3900000
Vijayanagar,2,1336,2,2,10000000
Vijayanagar,1,673,1,1,3685000
Vijayanagar,3,1600,3,3,16000000
Vijayanagar,4,2500,3,3,27000000
Vijayanagar,2,1143,2,2,6500000
Vijayanagar,2,1470,2,2,6174000
Vijayanagar,3,1785,3,2,9400000
Vijayanagar,3,2292,3,2,28600000
Vijayanagar,2,1460,3,3,7100000
Vijayanagar,2,1500,2,3,8000000
Vijayanagar,4,3300,3,3,25000000
Bommanahalli,2,1230,2,2,4800000
Vijayanagar,1,650,1,1,2000000
Vijayanagar,2,1480,2,1,12000000
Vijayanagar,2,1220,2,1,4392000
Vijayanagar,3,1570,3,1,11500000
Vijayanagar,4,3000,3,3,40000000
Vijayanagar,3,1665,3,2,8691000
Vijayanagar,2,1350,2,1,8701000
Vijayanagar,3,1719,3,2,11600000
Bommanahalli,1,664,1,1,3500000
Vijayanagar,2,1011,2,1,5053000
Vijayanagar,3,1680,3,2,8500000
Whitefield,3,1520,2,2,15000000
Vijayanagar,2,1350,2,2,5300000
Vijayanagar,3,1760,3,2,15000000
Vijayanagar,2,875,2,1,3300000
Vijayanagar,2,1231,2,2,4800000
Vijayanagar,2,1174,2,3,7400000
Vijayanagar,3,1560,3,3,7500000
Vijayanagar,2,1464,2,2,5600000
Vijayanagar,2,850,2,2,5500000
Vijayanagar,3,1750,3,1,18000000
Vijayanagar,3,2024,3,2,15700000
Vijayanagar,4,2408,4,2,26000000
Vijayanagar,2,1080,2,1,4400000
Indira Nagar,3,2070,3,2,22500000
Electronics City,2,1020,2,1,2946000
Vijayanagar,2,1500,2,3,5500000
Vijayanagar,2,1175,2,1,4700000
Bommanahalli,2,1030,2,1,3450000
Vijayanagar,2,1440,2,1,11500000
Vijayanagar,2,1500,2,1,8400000
Vijayanagar,2,1200,2,3,5000000
Vijayanagar,3,2240,5,2,15500000
Vijayanagar,3,1584,3,1,10300000
Vijayanagar,2,1340,3,3,7700000
Vijayanagar,3,1800,3,2,7000000
Vijayanagar,2,1200,2,3,4500000
Vijayanagar,1,685,1,1,4000000
Vijayanagar,2,925,2,3,4200000
Bommanahalli,2,1230,2,2,5700000
Vijayanagar,2,1125,2,1,5200000
Vijayanagar,2,1100,2,1,5400000
Electronics City,2,1400,2,2,4158000
Indira Nagar,3,1858,3,1,9830000
Vijayanagar,4,3530,4,2,29000000
Vijayanagar,2,1185,2,2,6000000
Vijayanagar,2,1255,2,1,5800000
Vijayanagar,2,1335,3,2,8900000
Vijayanagar,3,1999,3,2,13200000
Vijayanagar,2,1397,3,2,11000000
Bommanahalli,4,3950,4,3,45000000
Vijayanagar,2,1140,2,2,3855000
Vijayanagar,2,1205,2,1,8100000
Electronics City,3,1700,3,2,7500000
Vijayanagar,2,1090,2,1,5454000
Vijayanagar,4,3600,5,3,22000000
Vijayanagar,2,1050,2,2,4800000
Whitefield,2,1495,2,2,7950000
Vijayanagar,2,1485,3,2,8500000
Vijayanagar,2,1033,2,2,3150000
Electronics City,2,1400,2,1,4800000
Vijayanagar,2,944,2,1,3500000
Whitefield,2,1216,2,1,6648000
Vijayanagar,2,1100,2,1,3950000
Vijayanagar,3,1743,3,2,9325000
Vijayanagar,2,1274,2,2,4842000
Vijayanagar,4,2500,3,2,42500000
Vijayanagar,3,1512,2,2,11000000
Vijayanagar,4,3100,5,1,38500000
Bommanahalli,3,1650,3,3,10000000
Vijayanagar,3,1875,3,1,5500000
Whitefield,2,1350,3,2,5400000
Vijayanagar,2,1219,2,2,4000000
Vijayanagar,2,1141,2,1,4440000
Vijayanagar,2,1151,2,1,4310000
Vijayanagar,2,915,2,1,3800000
Vijayanagar,2,1115,2,1,6512000
Vijayanagar,3,2072,4,2,13900000
Vijayanagar,2,1200,2,2,5300000
Vijayanagar,2,1300,2,2,6500000
Vijayanagar,2,1457,2,2,8500000
Vijayanagar,2,1262,2,2,5500000
Vijayanagar,2,900,2,2,2250000
Vijayanagar,2,1160,2,1,4639000
Vijayanagar,2,1115,2,2,5000000
Vijayanagar,2,1315,2,1,8540000
Vijayanagar,2,1500,2,2,5700000
Vijayanagar,2,1127,2,1,6800000
Vijayanagar,2,1397,3,2,10400000
Whitefield,2,1173,2,1,6000000
Vijayanagar,2,1090,2,2,2800000
Vijayanagar,4,2720,5,3,21000000
Indira Nagar,2,1230,2,1,7600000
Vijayanagar,4,3200,3,3,19000000
Vijayanagar,2,858,2,1,3157000
Vijayanagar,3,1868,3,1,12100000
Vijayanagar,3,1689,3,2,9120000
Vijayanagar,1,600,3,2,7300000
Vijayanagar,2,1425,3,3,4988000
Vijayanagar,2,1310,2,1,8500000
Vijayanagar,2,970,2,1,4000000
Vijayanagar,2,1397,3,3,10800000
Vijayanagar,2,1157,2,1,4000000
Vijayanagar,2,1125,2,1,6120000
Vijayanagar,2,1157,2,1,4200000
Vijayanagar,2,1241,2,1,8200000
Vijayanagar,1,660,1,1,6200000
Vijayanagar,4,4000,4,3,22000000
Vijayanagar,3,2340,4,1,14800000
Vijayanagar,3,1910,3,1,19000000
Bommanahalli,2,1139,2,2,8000000
Vijayanagar,4,3122,5,2,22500000
Vijayanagar,2,1033,2,2,2841000
Vijayanagar,2,1168,2,2,6408000
Bommanahalli,2,877,2,3,4200000
Electronics City,2,1340,2,2,7500000
Vijayanagar,2,1405,2,2,7000000
Vijayanagar,3,1800,3,3,6500000
Vijayanagar,3,1750,3,3,14900000
Vijayanagar,2,1360,2,1,6500000
Bommanahalli,2,985,2,1,6300000
Vijayanagar,2,1300,2,1,12900000
Vijayanagar,3,1850,3,2,15000000
Vijayanagar,2,1490,2,3,8800000
Bommanahalli,1,620,1,1,2500000
Vijayanagar,2,1130,2,1,4230000
Vijayanagar,2,1080,2,2,5500000
Vijayanagar,4,3126,4,3,12000000
Vijayanagar,2,1410,2,3,5217000
Bommanahalli,2,1375,3,2,5900000
Vijayanagar,2,1290,2,1,9450000
Vijayanagar,2,1318,2,1,8528000
Electronics City,2,1128,2,1,6800000
Vijayanagar,2,1051,2,2,5674000
Vijayanagar,2,1327,2,3,8500000
Vijayanagar,2,1301,2,2,5500000
Vijayanagar,1,650,1,0,3000000
Vijayanagar,2,1500,2,2,8999000
Electronics City,2,1000,2,1,2888000
Vijayanagar,2,984,2,1,4591000
Indira Nagar,3,1819,3,1,16000000
Vijayanagar,2,1355,3,1,8387000
Vijayanagar,3,2145,4,1,27000000
Vijayanagar,4,2475,4,3,30000000
Vijayanagar,2,1118,2,0,3000000
Vijayanagar,2,1250,3,2,3900000
Vijayanagar,2,1304,2,3,10000000
Vijayanagar,3,1615,3,2,5800000
Vijayanagar,2,1400,2,2,6800000
Vijayanagar,2,1070,2,2,4750000
Vijayanagar,4,3500,3,3,39500000
Vijayanagar,2,1132,2,1,8937000
Vijayanagar,3,2000,3,2,8500000
Vijayanagar,2,1090,2,2,4359000
Vijayanagar,2,1500,3,2,7000000
Vijayanagar,3,2059,3,2,22500000
Vijayanagar,2,1447,2,1,7597000
Whitefield,2,1269,2,1,7500000
Vijayanagar,2,1070,2,2,3745000
Vijayanagar,2,1150,2,0,2800000
Vijayanagar,2,1208,2,2,7000000
Vijayanagar,2,1185,2,1,4550000
Vijayanagar,2,888,2,1,3400000
Bommanahalli,2,1015,2,2,2588000
Vijayanagar,2,1060,3,1,6200000
Electronics City,1,700,1,1,3500000
Bommanahalli,2,902,2,2,4200000
Vijayanagar,2,1175,2,1,4700000
Vijayanagar,2,1365,2,1,12200000
Vijayanagar,2,984,2,1,5100000
Vijayanagar,2,1475,3,2,9600000
